_id/$oid,n_workers,timestamp,learning_rate,batch_size,synchronism,training_time,n_ps,acc,vm_flavor,total_iterations,intermediate_acc_values
5ba8c2ae8e41fa053d293338,8,2018-09-24 10:55:42,0.00001,256,sync,609.510895,1,0.6567999721,t2.small,147,0.1042 0.1208 0.1336 0.1654 0.1968 0.2562 0.3122 0.3814 0.4402 0.4822 0.5266 0.573 0.6034 0.627 0.6572
5ba8c37d8e41fa056b662bb7,8,2018-09-24 10:59:10,0.0001,256,sync,202.797426,1,0.8701999784,t2.small,46,0.2304 0.5802 0.7804 0.837 0.8702
5ba8c3ff8e41fa058ff369cb,8,2018-09-24 11:01:20,0.001,256,sync,123.096688,1,0.8967999816,t2.small,25,0.4868 0.7626 0.8968
5ba8c67b8e41fa05afea4464,8,2018-09-24 11:11:56,0.00001,16,sync,613.6114399,1,0.2321999967,t2.small,94,0.0926 0.0978 0.1016 0.1124 0.1244 0.1196 0.1424 0.1418 0.1604 0.1694 0.1868 0.188 0.2092 0.2294
5ba8c8c68e41fa05de0fe3f0,8,2018-09-24 11:21:43,0.0001,16,sync,581.0472488,1,0.8610000014,t2.small,71,0.1938 0.2236 0.417 0.4934 0.61 0.697 0.7458 0.7726 0.8008 0.8172 0.8388 0.8384 0.861
5ba8c9c98e41fa061e0cfa8e,8,2018-09-24 11:26:01,0.001,16,sync,252.515631,1,0.8830000162,t2.small,31,0.192 0.2934 0.5424 0.7548 0.8256 0.883
5ba8ccda52a52f05209b8d6f,16,2018-09-24 11:39:07,0.00001,256,sync,626.162113,1,0.5339999795,t2.small,104,0.104 0.1258 0.1346 0.1552 0.2146 0.2586 0.3158 0.3546 0.4064 0.4304 0.46 0.4914 0.5166 0.5248 0.5432
5ba8cf6452a52f054bd29fe4,16,2018-09-24 11:49:56,0.0001,256,sync,627.897752,1,0.8022000194,t2.small,41,0.0632 0.083 0.148 0.2318 0.3154 0.4752 0.5042 0.5754 0.65 0.7204 0.731 0.7576 0.7902 0.8048
5ba8d09e52a52f0579379000,16,2018-09-24 11:55:10,0.001,256,sync,308.0867801,1,0.8768000007,t2.small,19,0.183 0.527 0.577 0.642 0.7266 0.8266 0.8768
5ba8d33452a52f059a0f0914,16,2018-09-24 12:06:13,0.00001,16,sync,641.2301261,1,0.2106000036,t2.small,42,0.1088 0.1262 0.1416 0.15 0.1434 0.159 0.1562 0.1456 0.1514 0.1592 0.168 0.1808 0.1962 0.2076
5ba8d5bd52a52f05cf9e18e5,16,2018-09-24 12:17:01,0.0001,16,sync,626.577019,1,0.8113999963,t2.small,41,0.1098 0.1818 0.2176 0.2242 0.3934 0.4904 0.5252 0.5924 0.6592 0.7184 0.747 0.7752 0.7944 0.8098
5ba8d70452a52f05fbc07e81,16,2018-09-24 12:22:29,0.001,16,sync,322.8178229,1,0.8550000191,t2.small,20,0.1222 0.3762 0.5434 0.629 0.7732 0.8286 0.855
5ba8da23299c6f0531627afb,32,2018-09-24 12:35:48,0.00001,256,sync,620.2668252,1,0.28580001,t2.small,56,0.0952 0.0998 0.1104 0.1306 0.1384 0.175 0.1874 0.1998 0.2292 0.2286 0.259 0.2578 0.2688 0.2852 0.297
5ba8dcb3299c6f055b99a414,32,2018-09-24 12:46:44,0.0001,256,sync,639.4267991,1,0.5722000003,t2.small,21,0.0808 0.0722 0.1216 0.1668 0.2126 0.2524 0.281 0.2638 0.2438 0.2686 0.3666 0.4354 0.531 0.569
5ba8df44299c6f058511a080,32,2018-09-24 12:57:40,0.001,256,sync,651.4608212,1,0.8592000008,t2.small,21,0.1626 0.2178 0.4058 0.4406 0.5236 0.6026 0.6464 0.725 0.751 0.8062 0.8408 0.8592
5ba8e1ef299c6f05b33a01ef,32,2018-09-24 13:09:04,0.00001,16,sync,647.6352899,1,0.135800004,t2.small,22,0.1004 0.0958 0.095 0.1024 0.0994 0.1034 0.1016 0.115 0.1186 0.1258 0.135
5ba8e466299c6f05d91f320f,32,2018-09-24 13:19:35,0.0001,16,sync,612.317627,1,0.6872000098,t2.small,20,0.1242 0.1904 0.223 0.267 0.3228 0.4278 0.4944 0.5746 0.6102 0.6318 0.6506 0.6804
5ba8e6f4299c6f060f0df14e,32,2018-09-24 13:30:28,0.001,16,sync,647.7862291,1,0.8664000034,t2.small,21,0.1314 0.2334 0.4166 0.4658 0.6362 0.4408 0.5646 0.7624 0.7784 0.8068 0.8308 0.8664
5ba8ea1630cdac05260f6852,4,2018-09-24 13:43:51,0.00001,256,sync,607.487196,1,0.8112000227,t2.medium,302,0.1542 0.147 0.2152 0.3222 0.4226 0.4978 0.5752 0.6198 0.661 0.6928 0.7244 0.7364 0.7526 0.7748 0.7882 0.8008 0.8126
5ba8ea8730cdac055b428bd8,4,2018-09-24 13:45:44,0.0001,256,sync,107.4396191,1,0.8536000252,t2.medium,50,0.5396 0.7558 0.8536
5ba8ead530cdac057daf8957,4,2018-09-24 13:47:01,0.001,256,sync,71.62727213,1,0.9255999923,t2.medium,34,0.7496 0.9256
5ba8ed4030cdac059d1d820b,4,2018-09-24 13:57:21,0.00001,16,sync,608.461143,1,0.7951999903,t2.medium,441,0.0876 0.1732 0.2804 0.366 0.424 0.5002 0.5638 0.61 0.6588 0.6662 0.6992 0.7202 0.731 0.758 0.7544 0.7672 0.7706
5ba8ee1d30cdac05d305628a,4,2018-09-24 14:01:01,0.0001,16,sync,215.08587,1,0.8623999953,t2.medium,98,0.2836 0.616 0.7426 0.8172 0.8422 0.8624
5ba8ee6a30cdac0604886bd5,4,2018-09-24 14:02:19,0.001,16,sync,71.6361289,1,0.883400023,t2.medium,33,0.6942 0.8834
5ba8f1768718ee0527388204,8,2018-09-24 14:15:19,0.00001,256,sync,608.1304851,1,0.7936000228,t2.medium,240,0.128 0.1896 0.253 0.3008 0.3806 0.4396 0.5136 0.5536 0.6046 0.6404 0.675 0.7016 0.7358 0.7414 0.765 0.7776 0.7914
5ba8f20c8718ee055542e48f,8,2018-09-24 14:17:48,0.0001,256,sync,142.8090479,1,0.8507999778,t2.medium,51,0.2386 0.6508 0.7992 0.8508
5ba8f2598718ee058063df32,8,2018-09-24 14:19:06,0.001,256,sync,71.44405603,1,0.8885999918,t2.medium,24,0.7084 0.8886
5ba8f4c78718ee05a6337fd1,8,2018-09-24 14:29:27,0.00001,16,sync,611.5380042,1,0.5802000165,t2.medium,163,0.1116 0.1264 0.1592 0.1948 0.2398 0.2674 0.3012 0.3312 0.3714 0.392 0.4268 0.4466 0.4632 0.5156 0.5382 0.5522 0.5684
5ba8f5c78718ee05d5bd5ef6,8,2018-09-24 14:33:43,0.0001,16,sync,250.4807789,1,0.8515999913,t2.medium,62,0.313 0.5368 0.6916 0.7714 0.7936 0.8274 0.8516
5ba8f6388718ee061042bf9b,8,2018-09-24 14:35:36,0.001,16,sync,107.402843,1,0.8511999846,t2.medium,27,0.4452 0.6912 0.8512
5ba8f9427d6d9e052add7ff2,16,2018-09-24 14:48:35,0.00001,256,sync,611.191488,1,0.7246000171,t2.medium,161,0.158 0.22 0.2712 0.346 0.4004 0.433 0.4852 0.5134 0.5564 0.5886 0.62 0.6316 0.6666 0.6702 0.6998 0.7034 0.7192
5ba8fad47d6d9e055a75aa07,16,2018-09-24 14:55:16,0.0001,256,sync,395.7195511,1,0.8569999933,t2.medium,54,0.1692 0.2678 0.5102 0.611 0.6702 0.7542 0.78 0.805 0.825 0.8446 0.857
5ba8fb8c7d6d9e058928ccfb,16,2018-09-24 14:58:20,0.001,256,sync,178.5179782,1,0.8984000087,t2.medium,23,0.393 0.6884 0.7608 0.8256 0.8984
5ba8fe037d6d9e05b001ed5d,16,2018-09-24 15:08:51,0.00001,16,sync,614.821744,1,0.2924000025,t2.medium,82,0.1008 0.0912 0.0882 0.091 0.1026 0.1122 0.1278 0.1344 0.1476 0.1608 0.1726 0.188 0.2096 0.2164 0.2454 0.258 0.2834
5ba8ffdd7d6d9e05ee62e244,16,2018-09-24 15:16:45,0.0001,16,sync,468.4369051,1,0.8569999933,t2.medium,61,0.166 0.2304 0.4912 0.5056 0.5962 0.6772 0.7454 0.772 0.7944 0.8138 0.8266 0.845 0.857
5ba900bc7d6d9e061db811d1,16,2018-09-24 15:20:28,0.001,16,sync,217.81357,1,0.8816000223,t2.medium,28,0.3302 0.615 0.6242 0.7708 0.8418 0.8816
5ba906c11b4de305478e4f4d,2,2018-09-24 15:46:09,0.00001,256,sync,362.481271,1,0.855799973,t2.xlarge,338,0.258 0.4468 0.5652 0.6472 0.7032 0.7556 0.7828 0.817 0.8258 0.8438 0.8558
5ba907081b4de3057ce0d9d1,2,2018-09-24 15:47:21,0.0001,256,sync,65.83160996,1,0.8640000224,t2.xlarge,60,0.714 0.864
5ba907301b4de305a28824f1,2,2018-09-24 15:48:00,0.001,256,sync,32.91570306,1,0.9114000201,t2.xlarge,31,0.9114
5ba909861b4de305c7e30274,2,2018-09-24 15:57:58,0.00001,16,sync,593.034832,1,0.8532000184,t2.xlarge,912,0.1138 0.2694 0.395 0.4976 0.5814 0.6518 0.694 0.7094 0.7628 0.7584 0.7856 0.8032 0.8094 0.824 0.8306 0.8384 0.845 0.8532
5ba909ee1b4de30601b7d18b,2,2018-09-24 15:59:43,0.0001,16,sync,98.83111501,1,0.888199985,t2.xlarge,152,0.728 0.849 0.8882
5ba90a141b4de30628888549,2,2018-09-24 16:00:21,0.001,16,sync,32.93232608,1,0.9047999978,t2.xlarge,52,0.9048
5ba90c034410c5054cd03005,4,2018-09-24 16:08:36,0.00001,256,sync,394.93277,1,0.8547999859,t2.xlarge,325,0.166 0.275 0.4516 0.5662 0.6566 0.711 0.7592 0.7806 0.8076 0.8338 0.8466 0.8548
